StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
HarborAveUpperNorthBridge,POINT (-122.370873 47.571695),11/03/2019 02:15:00 AM,2614377,42.79,42.85
MagnoliaBridge,POINT (-122.387341 47.633454),11/02/2019 01:58:00 AM,3618652,43.84,45.98
MagnoliaBridge,POINT (-122.387341 47.633454),11/02/2019 01:59:00 AM,3618653,43.83,46.00
MagnoliaBridge,POINT (-122.387341 47.633454),11/02/2019 02:00:00 AM,3618654,43.83,46.05
MagnoliaBridge,POINT (-122.387341 47.633454),11/02/2019 02:01:00 AM,3618655,43.83,46.09
MagnoliaBridge,POINT (-122.387341 47.633454),11/02/2019 02:02:00 AM,3618656,43.82,46.15
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:48:00 AM,3589142,46.13,43.78
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:49:00 AM,3589143,46.13,43.72
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:50:00 AM,3589144,46.10,43.65
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:51:00 AM,3589145,46.09,43.57
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:52:00 AM,3589146,46.09,43.51
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:53:00 AM,3589147,46.09,43.43
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:54:00 AM,3589148,46.08,43.33
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:55:00 AM,3589149,46.05,43.23
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:56:00 AM,3589150,46.04,43.17
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:57:00 AM,3589151,46.04,43.15
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:58:00 AM,3589152,46.04,43.13
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 01:59:00 AM,3589153,46.04,43.13
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 02:00:00 AM,3589154,46.01,43.19
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 02:01:00 AM,3589155,46.00,43.24
AuroraBridge,POINT (-122.347278 47.643174),11/02/2019 02:02:00 AM,3589156,46.00,43.31
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 01:56:00 AM,2507178,47.41,47.41
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 01:57:00 AM,2507179,47.40,47.40
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 01:58:00 AM,2507180,47.41,47.41
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 01:59:00 AM,2507181,47.40,47.40
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 02:00:00 AM,2507182,47.39,47.39
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 02:01:00 AM,2507183,47.39,47.39
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 02:02:00 AM,2507184,47.38,47.38
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 02:03:00 AM,2507185,47.36,47.36
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/02/2019 02:04:00 AM,2507186,47.34,47.34
